City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
33,barranca,-10.75,-77.7667,299.12,69,6,3.8,PE,1707255312
34,olonkinbyen,70.9221,-8.7187,270.97,90,45,9.89,SJ,1707255187
35,heroica caborca,30.7167,-112.15,287.25,74,100,7.55,MX,1707255314
36,st. john's,47.5649,-52.7093,273.81,95,100,13.86,CA,1707255139
37,uturoa,-16.7333,-151.4333,300.23,92,100,10.75,PF,1707255316
38,khamis mushait,18.3064,42.7292,288.49,77,20,6.69,SA,1707255317
39,qaqortoq,60.7167,-46.0333,256.84,63,0,3.92,GL,1707255319
40,puerto ayora,-0.7393,-90.3518,302.13,77,68,4.9,EC,1707254878
41,tralee,52.2704,-9.7026,278.26,88,100,2.29,IE,1707255321
42,chu,43.5983,73.7614,270.96,73,100,3.83,KZ,1707255322
43,stanley,54.868,-1.6985,276.92,75,100,3.67,GB,1707255323
44,iqaluit,63.7506,-68.5145,258.0,65,75,7.72,CA,1707254908
45,as sulayyil,20.4607,45.5779,292.29,49,83,5.29,SA,1707255325
46,whitehorse,60.7161,-135.0538,257.05,85,100,2.06,CA,1707254919
47,vila franca do campo,37.7167,-25.4333,291.42,99,100,9.4,PT,1707255327
48,praia,14.9215,-23.5087,296.9,60,0,4.32,CV,1707255328
49,port elizabeth,-33.918,25.5701,296.54,88,75,8.75,ZA,1707255209
50,westport,41.1415,-73.3579,279.05,55,0,2.68,US,1707255331
51,manakara,-22.1333,48.0167,296.79,95,99,2.85,MG,1707255332
52,arkhangel'sk,64.5401,40.5433,248.22,84,20,0.0,RU,1707255333
53,pingzhuang,42.0372,119.2889,262.4,72,1,0.95,CN,1707255334
54,impfondo,1.6381,18.0667,299.79,41,100,0.16,CG,1707255335
55,pitanga,-24.7572,-51.7614,294.7,80,99,1.2,BR,1707255336
56,soio,-6.1349,12.3689,298.76,86,99,3.08,AO,1707255337
57,homeland park,34.4707,-82.6707,290.53,24,0,5.66,US,1707255338
58,mahibadhoo,3.7833,72.9667,300.96,78,100,6.21,MV,1707255340
59,port mathurin,-19.6833,63.4167,300.01,71,61,7.67,MU,1707255341
60,colonia,50.9333,6.95,285.35,69,0,10.29,DE,1707255342
61,taoudenni,22.6783,-3.9836,292.86,12,1,5.47,ML,1707255343
62,bredasdorp,-34.5322,20.0403,294.34,64,7,6.44,ZA,1707255344
63,castillos,-34.1667,-53.8333,295.55,69,0,6.37,UY,1707255345
64,itaituba,-4.2761,-55.9836,305.24,66,20,2.57,BR,1707255346
65,melfi,40.9965,15.6514,278.98,84,100,3.0,IT,1707255347
66,tazovsky,67.4667,78.7,257.24,98,95,3.79,RU,1707255348
67,nagqu,31.5,92.0,260.99,23,3,2.06,CN,1707255349
68,anadyr,64.75,177.4833,249.43,76,20,6.0,RU,1707255351
69,hithadhoo,-0.6,73.0833,301.36,75,55,2.51,MV,1707255352
70,wailua homesteads,22.0669,-159.378,298.39,71,100,6.69,US,1707254926
71,black river,18.0264,-77.8487,298.05,61,47,7.08,JM,1707255354
72,horta,38.5333,-28.6333,289.95,96,75,7.15,PT,1707255355
73,ushuaia,-54.8,-68.3,290.96,42,0,2.57,AR,1707254898
74,santiago de cao,-7.9589,-79.2392,299.22,78,20,5.14,PE,1707255357
75,togur,58.3631,82.8265,264.9,95,95,3.13,RU,1707255358
76,keta,5.9179,0.9879,302.27,66,8,3.32,GH,1707255359
77,cascais,38.6979,-9.4215,290.1,96,18,4.47,PT,1707255360
78,dadukou,26.5479,101.7054,280.91,84,5,0.53,CN,1707255361
79,bisbee,31.4482,-109.9284,289.33,29,100,9.39,US,1707255363
80,guerrero negro,27.9769,-114.0611,288.57,82,100,5.48,MX,1707254889
81,keflavik,64.0049,-22.5624,271.39,69,40,8.75,IS,1707255365
82,vorkuta,67.5,64.0,246.93,99,92,1.26,RU,1707255366
83,iskateley,67.6803,53.1512,245.38,99,97,1.34,RU,1707255194
84,chosica,-11.9431,-76.7094,295.82,68,60,2.4,PE,1707255368
85,mek'ele,13.4967,39.4753,288.68,80,70,2.35,ET,1707255369
86,enewetak,11.3474,162.3373,299.66,81,59,7.5,MH,1707254932
87,ilulissat,69.2167,-51.1,262.16,44,75,9.77,GL,1707255371
88,nova sintra,14.8667,-24.7167,294.35,72,0,3.87,CV,1707255372
89,thompson,55.7435,-97.8558,255.24,71,75,4.63,CA,1707254780
90,taulaga,-11.0553,-171.0883,301.67,81,100,11.35,AS,1707255375
91,ghormach,35.7306,63.7826,283.43,33,96,4.39,AF,1707255376
92,kiunga,-6.1219,141.2906,296.18,99,100,1.71,PG,1707254896
93,vorgashor,67.5833,63.95,247.04,99,93,1.52,RU,1707255378
94,leh,34.1667,77.5833,250.18,78,15,1.79,IN,1707255379
95,salinopolis,-0.6136,-47.3561,300.26,84,44,5.13,BR,1707255380
96,saipan,15.1355,145.701,297.54,69,20,3.6,MP,1707255381
97,shalqar,47.8333,59.6,269.82,84,96,10.48,KZ,1707255382
98,queenstown,-31.8976,26.8753,292.85,68,85,0.91,ZA,1707255383
99,donggang,28.9365,114.2259,273.28,99,100,1.14,CN,1707255385
100,namibe,-15.1961,12.1522,298.53,76,100,3.22,AO,1707255386
101,sasovo,54.3537,41.9199,263.22,98,98,1.34,RU,1707255387
102,motomachi,43.8228,144.1044,260.87,91,87,1.88,JP,1707255388
103,hovd,48.0056,91.6419,251.76,96,46,0.57,MN,1707255389
104,codrington,-38.2667,141.9667,286.38,82,40,1.59,AU,1707254936
105,blackmans bay,-43.0167,147.3167,287.22,72,97,2.61,AU,1707254890
106,carnarvon,-24.8667,113.6333,301.7,43,5,6.83,AU,1707255195
107,revda,56.801,59.9303,270.35,96,100,5.25,RU,1707255328
108,narrabri,-30.3167,149.7833,294.55,77,99,2.68,AU,1707255394
109,moyo,3.6609,31.7247,299.94,39,84,1.21,UG,1707255341
110,nemuro,43.3236,145.575,265.25,72,50,1.55,JP,1707255151
